       jd             rh            delta   phase                  r                  g
2458125.5 2.723272865742 2.10987238777396 18.4453  19.05902283860791 19.556813188157975
2458126.5 2.723917760901 2.12112650340766 18.5961 19.075942572209097 19.573732921759163
2458127.5 2.724555276474  2.1324945872111 18.7425 19.092759907463982 19.590550257014048
2458128.5 2.725185408303 2.14397286243768 18.8845 19.109470738317857 19.607261087867922
2458129.5 2.725808152291 2.15555750762531  19.022  19.12606777444757 19.623858123997636
2458130.5 2.726423504389  2.1672446660178  19.155 19.142546962632505  19.64033731218257
2458131.5 2.727031460606 2.17903045417025 19.2834 19.158901096322207 19.656691445872273
2458132.5 2.727632017004 2.19091096915025 19.4073 19.175129389537783  19.67291973908785
2458133.5 2.728225169698 2.20288229458253 19.5265 19.191221556940793 19.689011906490858
2458134.5 2.728810914859 2.21494050618301 19.6412 19.207180083262898 19.704970432812964
2458135.5 2.729389248707 2.22708167751066 19.7513 19.222997975715526  19.72078832526559
2458136.5  2.72996016752 2.23930188652919 19.8569 19.238674644424705  19.73646499397477
2458137.5 2.730523667624 2.25159722331103 19.9578  19.25420008281548 19.751990432365545
2458138.5 2.731079745401 2.26396379893554 20.0542 19.269577004658352 19.767367354208417
2458139.5 2.731628397284 2.27639775544245 20.1461 19.284801880541046  19.78259223009111
2458140.5 2.732169619759 2.28889527668394 20.2335 19.299871276944398 19.797661626494463
2458141.5 2.732703409362 2.30145260009647 20.3164 19.314781865607284  19.81257221515735
2458142.5 2.733229762682 2.31406602971513 20.3948 19.329530433653254  19.82732078320332
2458143.5  2.73374867636  2.3267319510098 20.4688 19.344117030429786  19.84190737997985
2458144.5 2.734260147087 2.33944684806965 20.5385 19.358541833922118 19.856332183472183
2458145.5 2.734764171604 2.35220732297003 20.6038 19.372798907190223  19.87058925674029
2458146.5 2.735260746706 2.36501011556488 20.6649  19.38689187683728 19.884682226387344
2458147.5 2.735749869236 2.37785211958244 20.7217 19.400815155855724  19.89860550540579
2458148.5 2.736231536086 2.39073038874056 20.7743  19.41456959547697 19.912359945027035
2458149.5 2.736705744202 2.40364212654472 20.8229 19.428159328997975  19.92594967854804
2458150.5 2.737172490575 2.41658465720045 20.8673 19.441576136496643  19.93936648604671
2458151.5 2.737631772251 2.42955538201175 20.9077 19.454824380790903  19.95261473034097
2458152.5 2.738083586323 2.44255173187873 20.9441 19.467902231714824  19.96569258126489
2458153.5 2.738527929934 2.45557112770554 20.9766 19.480810991267397 19.978601340817463
2458154.5 2.738964800277 2.46861095601648 21.0051 19.493545723683376  19.99133607323344
2458155.5 2.739394194595 2.48166856037563 21.0298 19.506110824841354  20.00390117439142
2458156.5 2.739816110178 2.49474124440082 21.0507  19.51850444962024 20.016294799170307
2458157.5 2.740230544368 2.50782628075933 21.0677  19.53072164102689 20.028511990576956
2458158.5 2.740637494554 2.52092092157299 21.0811  19.54276989727688 20.040560246826946
2458159.5 2.741036958174 2.53402240753754 21.0907  19.55464117316061 20.052431522710677
2458160.5 2.741428932713 2.54712797473153 21.0966 19.566336779591904  20.06412712914197
2458161.5 2.741813415705 2.56023485921931  21.099 19.577861161496394  20.07565151104646
2458162.5 2.742190404733 2.57334030019511 21.0978 19.589209459064467 20.086999808614532
2458163.5 2.742559897425 2.58644154271772  21.093  19.60037995169096 20.098170301241026
2458164.5 2.742921891458 2.59953584114908 21.0848 19.611377170921823  20.10916752047189
2458165.5 2.743276384555 2.61262046427696 21.0732 19.622199462159614  20.11998981170968
2458166.5 2.743623374486 2.62569270278636 21.0582 19.632845210396262 20.130635559946327
2458167.5 2.743962859068 2.63874987929701 21.0399 19.643315959729538 20.141106309279603
2458168.5 2.744294836164 2.65178936070895 21.0184 19.653613312395635   20.1514036619457
2458169.5 2.744619303681 2.66480857223838 20.9936 19.663732710439568 20.161523059989634
2458170.5 2.744936259574 2.67780501238379 20.9656  19.67367589865029 20.171466248200357
2458171.5 2.745245701842 2.69077626812677 20.9346  19.68344782847306 20.181238178023126
2458172.5 2.745547628531 2.70372002977417 20.9006 19.693047320565043  20.19083767011511
2458173.5 2.745842037728 2.71663410473178 20.8635 19.702470180439818 20.200260529989883
2458174.5 2.746128927568 2.72951642893812 20.8235 19.711721681627555  20.20951203117762
2458175.5  2.74640829623 2.74236507369451 20.7807 19.720804100373243  20.21859444992331
2458176.5 2.746680141937  2.7551782446409 20.7351  19.72971670489727 20.227507054447337
2458177.5 2.746944462956 2.76795426954551 20.6867   19.7384588609314 20.236249210481464
2458178.5   2.7472012576 2.78069157334994 20.6355  19.74703000944712 20.244820358997185
2458179.5 2.747450524226  2.7933886426281 20.5818  19.75543902945989 20.253229379009955
2458180.5  2.74769226124 2.80604398575964 20.5254 19.763679174402405  20.26146952395247
2458181.5 2.747926467089 2.81865609717223 20.4664 19.771753071938214  20.26954342148828
2458182.5 2.748153140273 2.83122343244412 20.4049 19.779663325732212 20.277453675282278
2458183.5 2.748372279337 2.84374439681126 20.3409 19.787409367373495  20.28519971692356
2458184.5 2.748583882874 2.85621734525564 20.2745  19.79499373109498 20.292784080645045
2458185.5 2.748787949531 2.86864058990362 20.2056 19.802412635339394  20.30020298488946
2458186.5 2.748984478002 2.88101241027602 20.1344  19.80967170804041 20.307462057590474
2458187.5 2.749173467037 2.89333106312318 20.0608 19.816767125678066  20.31455747522813
2458188.5 2.749354915433 2.90559479011179  19.985 19.823704505653044  20.32149485520311
2458189.5 2.749528822046 2.91780182290902 19.9068 19.830476847686775  20.32826719723684
2458190.5 2.749695185779  2.9299503860825 19.8265 19.837092927857277 20.334883277407343
2458191.5 2.749854005591 2.94203869878378 19.7439 19.843545730134096  20.34133607968416
2458192.5  2.75000528049 2.95406497651548 19.6593 19.849844050856458 20.347634400406523
2458193.5 2.750149009536 2.96602743444316 19.5725 19.855980864075455  20.35377121362552
2458194.5 2.750285191839 2.97792429364728 19.4836  19.86195864576663 20.359748995316696
2458195.5 2.750413826557  2.9897537913286 19.3927 19.867779895986892 20.365570245536958
2458196.5 2.750534912893 3.00151419522768 19.2998  19.87344396534897 20.371234314899034
2458197.5   2.7506484501 3.01320382150093  19.205  19.87895342451878 20.376743774068846
