#        RA [deg]       Dec [deg]  beta    #n scale factor   tot flux [Jy]
159.28289286611 -11.11238568605 6.484428e-02    3.483486e+07    9.468166e-15
158.88150015025 -10.96554709590 1.260321e-01    3.483486e+07    2.446636e-15
159.27628230434 -11.10997225558 6.583688e-02    3.483486e+07    9.181206e-15
159.60225484396 -11.22912918768 1.751944e-02    3.483486e+07    1.321795e-13
159.64955393602 -11.24641476253 1.060967e-02    3.483486e+07    3.614134e-13
158.80830711718 -10.93876189515 1.374018e-01    3.483486e+07    2.049342e-15
158.59282785432 -10.85987824032 1.712582e-01    3.483486e+07    1.301877e-15
157.40633291071 -10.42520197469 3.686657e-01    3.483486e+07    2.606190e-16
159.68718045441 -11.26016167825 5.131107e-03    3.483486e+07    1.548607e-12
157.89848913560 -10.60556672044 2.844460e-01    3.483486e+07    4.518739e-16
159.71864886311 -11.27165818801 5.611566e-04    3.483486e+07    1.297158e-10
159.63322162881 -11.24044442374 1.299289e-02    3.483486e+07    2.407582e-13
158.37710131805 -10.78089651815 2.057457e-01    3.483486e+07    8.900595e-16
157.91852855663 -10.61291230086 2.810880e-01    3.483486e+07    4.633246e-16
158.08955329528 -10.67556919299 2.526602e-01    3.483486e+07    5.796873e-16
157.84073892796 -10.58440631576 2.941508e-01    3.483486e+07    4.209990e-16
157.88116161469 -10.59921653413 2.873527e-01    3.483486e+07    4.422912e-16
158.64847513446 -10.88025341049 1.624582e-01    3.483486e+07    1.451692e-15
157.76417787584 -10.55634426059 3.070899e-01    3.483486e+07    3.843853e-16
159.71926363617 -11.27188336247 4.720068e-04    3.483486e+07    1.833496e-10
158.23494030389 -10.72882450359 2.288014e-01    3.483486e+07    7.133687e-16
158.02439319932 -10.65168992796 2.634447e-01    3.483486e+07    5.310108e-16
158.80660913029 -10.93813542527 1.376656e-01    3.483486e+07    2.041287e-15
158.70804498634 -10.90206338090 1.530832e-01    3.483486e+07    1.640918e-15
159.21626522036 -11.08801747297 7.486762e-02    3.483486e+07    7.074499e-15
158.26747111944 -10.74074037885 2.235014e-01    3.483486e+07    7.491246e-16
159.36341435615 -11.14182439528 5.280156e-02    3.483486e+07    1.434807e-14
158.57381824755 -10.85292625019 1.742739e-01    3.483486e+07    1.255741e-15
158.58355024506 -10.85648627709 1.727302e-01    3.483486e+07    1.279051e-15
159.69798591571 -11.26410981980 3.560509e-03    3.483486e+07    3.218202e-12
159.50120547582 -11.19219813265 3.236684e-02    3.483486e+07    3.849675e-14
158.69400573783 -10.89692660721 1.552886e-01    3.483486e+07    1.593271e-15
159.60439756658 -11.22991320709 1.720550e-02    3.483486e+07    1.370644e-13
159.65421164636 -11.24811592333 9.930797e-03    3.483486e+07    4.126274e-13
158.86458985566 -10.95935663655 1.286540e-01    3.483486e+07    2.345519e-15
159.40333792718 -11.15642180916 4.685785e-02    3.483486e+07    1.826206e-14
158.93751310987 -10.98604008326 1.173776e-01    3.483486e+07    2.830317e-15
158.19427751295 -10.71392743072 2.354473e-01    3.483486e+07    6.719519e-16
159.70761462616 -11.26762649424 2.162337e-03    3.483486e+07    8.730406e-12
159.72114197275 -11.27256932111 1.995892e-04    3.483486e+07    1.025534e-09
157.28315098459 -10.38004980405 3.902884e-01    3.483486e+07    2.306799e-16
159.10755738628 -11.04826239062 9.133481e-02    3.483486e+07    4.722632e-15
157.78055833623 -10.56236006465 3.043148e-01    3.483486e+07    3.918379e-16
159.72234199250 -11.27300760828 2.562351e-05    3.483486e+07    6.222675e-08
157.63560970914 -10.50923082809 3.290024e-01    3.483486e+07    3.321369e-16
157.53253368565 -10.47145903901 3.467408e-01    3.483486e+07    2.970412e-16
158.83986847433 -10.95031403651 1.324916e-01    3.483486e+07    2.208293e-15
158.57384285664 -10.85293988265 1.742685e-01    3.483486e+07    1.255821e-15
159.52228547944 -11.19990691093 2.925957e-02    3.483486e+07    4.716589e-14
159.71879141517 -11.27171003408 5.405743e-04    3.483486e+07    1.397828e-10
159.56125038406 -11.21414472710 2.353005e-02    3.483486e+07    7.309936e-14
159.67824483934 -11.25689568548 6.430548e-03    3.483486e+07    9.854637e-13
159.71829845552 -11.27153054812 6.119749e-04    3.483486e+07    1.090649e-10
157.76105918249 -10.55519682283 3.076195e-01    3.483486e+07    3.829864e-16
159.47289283688 -11.18184997364 3.654782e-02    3.483486e+07    3.014232e-14
159.16344495015 -11.06870226957 8.285103e-02    3.483486e+07    5.758591e-15
159.31511120395 -11.12416537675 6.001727e-02    3.483486e+07    1.107360e-14
159.46707657000 -11.17972493977 3.740769e-02    3.483486e+07    2.876264e-14
157.64119650840 -10.51127406967 3.280464e-01    3.483486e+07    3.341955e-16
158.86430177849 -10.95925370696 1.286978e-01    3.483486e+07    2.343883e-15
159.38587442060 -11.15004128455 4.945493e-02    3.483486e+07    1.637745e-14
159.65088942129 -11.24690319579 1.041474e-02    3.483486e+07    3.750983e-13
159.70262068430 -11.26580238422 2.887354e-03    3.483486e+07    4.895024e-12
158.18544538782 -10.71069517523 2.368930e-01    3.483486e+07    6.634077e-16
158.01746761736 -10.64916288807 2.645939e-01    3.483486e+07    5.261782e-16
159.46713326428 -11.17974710997 3.739870e-02    3.483486e+07    2.877658e-14
159.30054522204 -11.11883855366 6.219832e-02    3.483486e+07    1.030168e-14
159.30604503234 -11.12085569073 6.137395e-02    3.483486e+07    1.058374e-14
158.73657582755 -10.91250715606 1.486066e-01    3.483486e+07    1.744310e-15
159.53557168203 -11.20476301867 2.730370e-02    3.483486e+07    5.420767e-14
